frame,det_score,det_box,best_lost_track_id,best_lost_track_box,iou_overlap_with_lost,could_rescue_lost_track,rescued,n_dlow_this_frame,n_newly_lost_this_frame
1,0.4414,"[1240.0, 236.1, 1272.4, 346.3]",,,0.0,False,False,4,0
1,0.3091,"[1827.9, 183.6, 1917.0, 432.0]",,,0.0,False,False,4,0
1,0.2709,"[970.0, 214.3, 1041.5, 430.7]",,,0.0,False,False,4,0
1,0.2419,"[275.1, 240.8, 411.4, 624.4]",,,0.0,False,False,4,0
2,0.3808,"[205.5, 287.9, 240.0, 390.2]",12,"[205.59333038330078, 287.97705078125, 239.68083953857422, 396.65203857421875]",0.9307,True,False,7,1
2,0.3796,"[271.7, 252.3, 411.1, 619.7]",,,0.0,False,False,7,1
2,0.3507,"[1242.0, 242.3, 1273.1, 343.6]",,,0.0,False,False,7,1
2,0.318,"[971.3, 229.7, 1041.5, 432.7]",,,0.0,False,False,7,1
2,0.2968,"[326.7, 266.5, 365.9, 385.4]",,,0.0,False,False,7,1
2,0.2017,"[313.0, 267.1, 395.2, 473.9]",,,0.0,False,False,7,1
2,0.158,"[1827.9, 167.5, 1919.7, 438.1]",,,0.0,False,False,7,1
3,0.4525,"[183.8, 288.2, 229.0, 400.6]",11,"[183.84695769479634, 287.6921810433884, 227.18471955129738, 407.3401065542678]",0.9024,True,False,9,1
3,0.4215,"[1243.4, 248.9, 1274.4, 348.3]",,,0.0,False,False,9,1
3,0.3723,"[1836.0, 154.1, 1925.1, 442.1]",,,0.0,False,False,9,1
3,0.338,"[293.5, 263.2, 386.1, 514.4]",,,0.0,False,False,9,1
3,0.2843,"[309.0, 269.5, 383.4, 471.8]",,,0.0,False,False,9,1
3,0.2,"[325.2, 271.2, 368.2, 401.6]",,,0.0,False,False,9,1
3,0.1257,"[263.1, 234.6, 382.4, 530.2]",,,0.0,False,False,9,1
3,0.1037,"[1344.6, 339.2, 1433.7, 672.0]",,,0.0,False,False,9,1
3,0.1022,"[1517.4, 301.2, 1549.8, 405.7]",,,0.0,False,False,9,1
4,0.545,"[1244.7, 253.8, 1275.8, 357.1]",,,0.0,False,False,4,0
4,0.2759,"[320.1, 277.1, 378.0, 449.9]",,,0.0,False,False,4,0
4,0.1545,"[327.0, 275.6, 371.6, 427.3]",,,0.0,False,False,4,0
4,0.1117,"[1185.3, 258.9, 1235.2, 418.2]",,,0.0,False,False,4,0
5,0.4793,"[324.0, 281.8, 375.3, 450.6]",,,0.0,False,False,3,0
5,0.1716,"[1179.2, 263.2, 1225.1, 422.2]",,,0.0,False,False,3,0
5,0.104,"[364.2, 193.4, 653.1, 1032.8]",,,0.0,False,False,3,0
6,0.332,"[1177.2, 266.3, 1221.8, 429.0]",,,0.0,False,False,2,2
6,0.1154,"[1664.6, 230.2, 1913.0, 957.8]",,,0.0,False,False,2,2
7,0.4772,"[973.4, 253.5, 1034.1, 450.6]",13,"[970.3719227863837, 253.4800631836482, 1030.7542979167413, 445.2793362304143]",0.8776,True,False,7,1
7,0.3694,"[210.8, 283.2, 369.2, 707.4]",,,0.0,False,False,7,1
7,0.1558,"[828.9, 265.6, 896.4, 448.5]",,,0.0,False,False,7,1
7,0.1291,"[1684.8, 211.8, 1782.0, 463.7]",,,0.0,False,False,7,1
7,0.1249,"[1397.2, 312.4, 1432.4, 417.8]",,,0.0,False,False,7,1
7,0.1215,"[1574.1, 265.3, 1665.9, 557.5]",,,0.0,False,False,7,1
7,0.1038,"[245.5, 294.0, 340.0, 564.6]",,,0.0,False,False,7,1
8,0.5447,"[978.1, 253.0, 1040.2, 443.5]",,,0.0,False,False,3,0
8,0.2676,"[1688.9, 211.3, 1786.1, 472.5]",,,0.0,False,False,3,0
8,0.1109,"[977.4, 257.9, 1027.3, 414.8]",,,0.0,False,False,3,0
9,0.271,"[1695.6, 214.0, 1790.1, 462.0]",,,0.0,False,False,3,1
9,0.2227,"[1260.2, 269.3, 1291.3, 370.6]",,,0.0,False,False,3,1
9,0.1045,"[833.0, 268.6, 904.5, 452.9]",,,0.0,False,False,3,1
10,0.5479,"[605.1, 251.6, 700.0, 544.7]",,,0.0,False,False,2,0
10,0.1994,"[1263.6, 272.0, 1294.7, 371.6]",,,0.0,False,False,2,0
11,0.3073,"[1271.7, 275.2, 1300.1, 372.6]",,,0.0,False,False,4,0
11,0.2621,"[602.1, 252.1, 701.3, 538.3]",,,0.0,False,False,4,0
11,0.1558,"[989.6, 264.8, 1036.8, 431.7]",,,0.0,False,False,4,0
11,0.106,"[1709.1, 335.1, 1981.8, 1165.1]",,,0.0,False,False,4,0
12,0.3707,"[1276.4, 280.8, 1306.1, 379.4]",,,0.0,False,False,5,0
12,0.2728,"[1732.1, 224.1, 1815.8, 465.1]",,,0.0,False,False,5,0
12,0.1639,"[609.2, 257.3, 705.4, 548.8]",,,0.0,False,False,5,0
12,0.1384,"[595.0, 286.2, 655.8, 486.0]",,,0.0,False,False,5,0
12,0.1039,"[78.3, 645.0, 100.2, 679.4]",,,0.0,False,False,5,0
13,0.2639,"[1732.1, 224.1, 1821.2, 472.5]",,,0.0,False,False,2,0
13,0.1223,"[1281.8, 281.8, 1311.5, 379.0]",,,0.0,False,False,2,0
14,0.4466,"[1624.1, 266.0, 1686.2, 458.3]",,,0.0,False,False,11,1
14,0.4266,"[-187.7, 250.6, 76.5, 921.4]",2,"[-181.47191310698383, 238.55568813729985, 63.777050741261206, 898.1602542455126]",0.8817,True,False,11,1
14,0.391,"[997.0, 276.4, 1057.7, 466.1]",,,0.0,False,False,11,1
14,0.2294,"[87.8, 649.0, 109.8, 686.8]",,,0.0,False,False,11,1
14,0.1744,"[85.8, 658.8, 116.0, 710.8]",,,0.0,False,False,11,1
14,0.172,"[1557.9, 801.9, 1657.8, 1085.4]",,,0.0,False,False,11,1
14,0.1342,"[86.8, 651.4, 111.8, 697.3]",,,0.0,False,False,11,1
14,0.12,"[10.2, 347.6, 54.3, 463.7]",2,"[-181.47191310698383, 238.55568813729985, 63.777050741261206, 898.1602542455126]",0.0317,False,False,11,1
14,0.111,"[1633.5, 270.8, 1679.4, 430.3]",,,0.0,False,False,11,1
14,0.1101,"[1287.2, 286.5, 1316.9, 384.8]",,,0.0,False,False,11,1
14,0.1065,"[1752.3, 227.8, 1833.3, 472.8]",,,0.0,False,False,11,1
15,0.5159,"[241.5, 337.2, 286.7, 447.9]",11,"[237.44263849021215, 336.90733508496953, 286.6520270371316, 472.2012464579993]",0.7504,True,False,9,1
15,0.4011,"[1001.7, 281.8, 1055.7, 460.7]",,,0.0,False,False,9,1
15,0.2542,"[1289.9, 291.1, 1321.0, 390.2]",,,0.0,False,False,9,1
15,0.2265,"[1763.1, 233.9, 1841.4, 471.5]",,,0.0,False,False,9,1
15,0.2153,"[1836.0, 237.9, 1917.0, 530.2]",,,0.0,False,False,9,1
15,0.1664,"[1740.2, 264.6, 1794.2, 457.7]",,,0.0,False,False,9,1
15,0.139,"[1437.8, 336.7, 1481.0, 442.5]",,,0.0,False,False,9,1
15,0.1254,"[1061.8, 286.2, 1119.8, 456.3]",,,0.0,False,False,9,1
15,0.1093,"[14.3, 352.0, 56.1, 472.8]",,,0.0,False,False,9,1
16,0.4851,"[239.1, 342.2, 287.4, 461.0]",,,0.0,False,False,4,0
16,0.3679,"[1292.6, 294.3, 1323.7, 390.8]",,,0.0,False,False,4,0
16,0.1893,"[21.1, 356.4, 58.8, 462.4]",,,0.0,False,False,4,0
16,0.1555,"[1757.7, 233.9, 1846.8, 484.3]",,,0.0,False,False,4,0
17,0.5083,"[427.3, 294.6, 539.3, 605.8]",,,0.0,False,False,4,0
17,0.3676,"[1294.7, 298.2, 1325.7, 392.9]",,,0.0,False,False,4,0
17,0.1627,"[1007.8, 287.7, 1059.1, 447.9]",,,0.0,False,False,4,0
17,0.1181,"[1771.2, 238.3, 1854.9, 483.3]",,,0.0,False,False,4,0
18,0.5496,"[1640.2, 274.7, 1699.7, 477.2]",,,0.0,False,False,2,0
18,0.2333,"[223.4, 356.4, 257.5, 461.7]",,,0.0,False,False,2,0
19,0.4569,"[1622.7, 291.9, 1671.3, 472.2]",,,0.0,False,False,3,0
19,0.1845,"[425.6, 295.3, 531.6, 624.7]",,,0.0,False,False,3,0
19,0.1196,"[603.1, 297.3, 697.3, 576.8]",,,0.0,False,False,3,0
20,0.4536,"[1622.7, 300.0, 1674.0, 461.4]",,,0.0,False,False,3,0
20,0.2468,"[1860.3, 257.3, 1962.9, 567.0]",,,0.0,False,False,3,0
20,0.2331,"[1783.4, 250.8, 1864.4, 510.0]",,,0.0,False,False,3,0
21,0.2635,"[1617.3, 298.2, 1665.9, 479.3]",,,0.0,False,False,3,0
21,0.1598,"[1867.1, 260.9, 1958.9, 564.6]",,,0.0,False,False,3,0
21,0.1498,"[1007.1, 301.4, 1065.2, 493.8]",,,0.0,False,False,3,0
22,0.3117,"[1057.1, 314.9, 1116.5, 494.4]",7,"[1041.8637841505379, 304.771032096224, 1119.8837744432121, 507.10213684908854]",0.6756,True,False,2,1
22,0.2593,"[1791.5, 240.3, 2112.8, 1217.7]",,,0.0,False,False,2,1
23,0.1333,"[21.1, 362.1, 85.1, 530.2]",,,0.0,False,False,2,0
23,0.1106,"[255.7, 367.2, 292.4, 473.2]",,,0.0,False,False,2,0
24,0.5087,"[1629.5, 297.7, 1705.1, 501.5]",15,"[1636.8723447760462, 295.9629775247072, 1702.1296083489538, 501.8584336081053]",0.8558,True,False,4,2
24,0.2689,"[-86.9, 261.9, 144.3, 953.8]",,,0.0,False,False,4,2
24,0.1505,"[-4.3, 341.9, 115.3, 632.1]",,,0.0,False,False,4,2
24,0.1356,"[17.3, 343.1, 100.3, 555.5]",,,0.0,False,False,4,2
25,0.5625,"[579.2, 306.1, 680.4, 627.4]",,,0.0,False,False,5,0
25,0.3329,"[1306.8, 325.2, 1333.8, 414.8]",,,0.0,False,False,5,0
25,0.2897,"[866.0, 327.7, 932.2, 510.0]",,,0.0,False,False,5,0
25,0.256,"[1629.5, 299.0, 1705.1, 503.6]",,,0.0,False,False,5,0
25,0.1119,"[1316.2, 779.6, 1414.8, 1072.6]",,,0.0,False,False,5,0
26,0.4585,"[98.0, 376.0, 136.2, 461.0]",,,0.0,False,False,2,0
26,0.1517,"[565.0, 296.8, 673.0, 646.7]",,,0.0,False,False,2,0
27,0.3342,"[93.2, 371.9, 134.8, 478.6]",,,0.0,False,False,8,1
27,0.3028,"[1818.5, 267.6, 2123.6, 1097.6]",,,0.0,False,False,8,1
27,0.2923,"[28.5, 376.7, 61.4, 469.8]",,,0.0,False,False,8,1
27,0.1985,"[376.3, 351.0, 445.2, 548.8]",,,0.0,False,False,8,1
27,0.1569,"[403.3, 351.3, 474.9, 542.4]",,,0.0,False,False,8,1
27,0.154,"[303.6, 383.4, 329.2, 463.7]",,,0.0,False,False,8,1
27,0.131,"[385.8, 350.7, 460.0, 556.5]",,,0.0,False,False,8,1
27,0.1067,"[551.8, 288.2, 674.0, 669.6]",,,0.0,False,False,8,1
28,0.5511,"[28.3, 373.3, 63.0, 467.8]",1,"[-224.87263525034683, 224.60585509096632, 142.93560064341324, 1104.1581829949712]",0.0101,False,False,4,1
