frame,stage,old_id,new_id,reason,det_score,det_box,track_box,iou_cost,iou_overlap,fused_cost,cosine_sim,cosine_theta,cosine_margin,feat_norm,feat_mean_sim,n_registry,n_lost,n_enrolments,all_sims_top5
4,3,11,11,re_activate_from_lost,0.71,"[185.0, 292.8, 227.8, 409.1]","[185.1, 292.8, 227.4, 409.4]",0.0823,0.9177,0.3484,,,,,,0,2,1,
4,6_new,-1,13,registry_empty_or_immature,0.8212,"[974.0, 229.5, 1041.5, 443.8]",,,,,,,,1.0,,0,2,,
4,6_new,-1,14,registry_empty_or_immature,0.7007,"[221.1, 232.5, 401.3, 657.8]",,,,,,,,1.0,,0,2,,
5,5,13,13,unconfirmed_update,0.6358,"[972.0, 238.8, 1035.5, 439.4]","[972.5, 236.9, 1036.6, 440.3]",0.1713,0.8287,,,,,,,,1,,
5,5,14,14,unconfirmed_update,0.8409,"[207.6, 224.9, 393.9, 651.4]","[212.5, 226.5, 393.1, 652.7]",0.1354,0.8646,,,,,,,,1,,
8,3,14,14,re_activate_from_lost,0.5952,"[180.9, 263.6, 378.3, 761.4]","[176.5, 262.2, 385.5, 756.2]",0.4061,0.5939,0.6465,,,,,,10,4,0,
8,6_new,8,15,gate_failed sim=0.612<theta=0.800,0.7544,"[1582.2, 249.1, 1641.6, 441.5]",,,,,0.6116,0.8,0.0537,1.0,,10,4,7,"[(8, 0.6116411089897156), (7, 0.5579045414924622), (1, 0.5578759908676147), (10, 0.5561339855194092), (9, 0.5300452709197998)]"
9,5,15,15,unconfirmed_update,0.7837,"[1579.5, 252.5, 1644.3, 437.1]","[1583.1, 251.8, 1640.7, 437.9]",0.1174,0.8826,,,,,,,,3,,
10,3,13,13,re_activate_from_lost,0.8712,"[984.8, 251.6, 1057.7, 462.4]","[987.5, 251.9, 1054.0, 462.0]",0.4235,0.5765,0.4978,,,,,,10,4,1,
13,6_revive,4,4,revived,0.6755,"[847.8, 283.2, 918.0, 462.0]",,,,,0.9316,0.8,0.3941,1.0,0.9316,11,3,12,"[(4, 0.9315782785415649), (1, 0.5374925136566162), (7, 0.519251823425293), (10, 0.4641702473163605), (2, 0.4547613263130188)]"
14,3,11,11,re_activate_from_lost,0.7364,"[233.4, 332.1, 282.3, 466.4]","[233.1, 332.0, 281.8, 466.0]",0.6499,0.3501,0.7422,,,,,,11,3,3,
14,6_revive,4,4,revived,0.8085,"[853.2, 284.2, 923.4, 470.5]",,,,,0.9228,0.8,0.3792,1.0,0.9228,12,3,14,"[(4, 0.9227632880210876), (1, 0.5435875058174133), (7, 0.5106032490730286), (15, 0.46007806062698364), (2, 0.4581984877586365)]"
15,6_revive,4,4,revived,0.8001,"[856.6, 286.9, 926.8, 477.2]",,,,,0.9455,0.8,0.3961,1.0,0.9455,12,3,16,"[(4, 0.9454609155654907), (1, 0.5493835210800171), (7, 0.49334993958473206), (15, 0.4402793049812317), (13, 0.440077543258667)]"
15,6_revive,15,15,revived,0.7679,"[1624.1, 264.3, 1691.6, 464.1]",,,,,0.8172,0.8,0.1438,1.0,0.8172,12,3,6,"[(15, 0.8171784281730652), (8, 0.6733741164207458), (2, 0.5440598726272583), (10, 0.5277905464172363), (3, 0.48818767070770264)]"
16,6_revive,4,4,revived,0.8358,"[861.3, 291.8, 924.8, 483.3]",,,,,0.9325,0.8,0.4013,1.0,0.9325,12,4,18,"[(4, 0.9324936866760254), (1, 0.531194269657135), (7, 0.5198209285736084), (13, 0.44464948773384094), (10, 0.4400247633457184)]"
17,3,11,11,re_activate_from_lost,0.7697,"[240.5, 346.6, 289.4, 468.8]","[242.9, 346.4, 288.7, 470.7]",0.2779,0.7221,0.4442,,,,,,12,4,4,
