frame,det_score,det_box,best_lost_track_id,best_lost_track_box,iou_overlap_with_lost,could_rescue_lost_track,rescued,n_dlow_this_frame,n_newly_lost_this_frame
1,0.4516,"[633.2, 524.1, 662.9, 599.1]",,,0.0,False,False,14,0
1,0.4498,"[765.5, 482.6, 785.7, 523.1]",,,0.0,False,False,14,0
1,0.3896,"[1464.8, 509.0, 1483.7, 558.2]",,,0.0,False,False,14,0
1,0.3449,"[216.8, 549.5, 267.1, 683.1]",,,0.0,False,False,14,0
1,0.2476,"[807.3, 480.3, 823.5, 520.8]",,,0.0,False,False,14,0
1,0.2469,"[688.8, 503.9, 709.4, 561.3]",,,0.0,False,False,14,0
1,0.2158,"[1656.5, 538.7, 1683.5, 606.8]",,,0.0,False,False,14,0
1,0.2104,"[869.4, 512.0, 895.1, 584.2]",,,0.0,False,False,14,0
1,0.2028,"[858.6, 509.6, 888.3, 585.9]",,,0.0,False,False,14,0
1,0.1538,"[621.0, 549.8, 669.6, 669.9]",,,0.0,False,False,14,0
1,0.1475,"[660.8, 520.4, 687.8, 592.7]",,,0.0,False,False,14,0
1,0.1339,"[180.7, 500.2, 207.7, 565.7]",,,0.0,False,False,14,0
1,0.1159,"[1067.8, 485.3, 1078.7, 510.3]",,,0.0,False,False,14,0
1,0.1044,"[622.7, 576.8, 663.2, 674.0]",,,0.0,False,False,14,0
2,0.579,"[1196.1, 496.1, 1212.3, 541.4]",,,0.0,False,False,14,1
2,0.51,"[1431.0, 501.2, 1447.2, 545.7]",,,0.0,False,False,14,1
2,0.4916,"[175.8, 498.8, 203.5, 564.3]",,,0.0,False,False,14,1
2,0.4664,"[618.0, 565.3, 663.2, 674.0]",,,0.0,False,False,14,1
2,0.4429,"[655.4, 523.1, 683.8, 598.7]",,,0.0,False,False,14,1
2,0.3987,"[1464.8, 507.9, 1486.4, 560.6]",,,0.0,False,False,14,1
2,0.3197,"[868.7, 509.0, 894.4, 583.9]",,,0.0,False,False,14,1
2,0.2808,"[1676.7, 527.5, 1709.1, 612.6]",5,"[1683.458984375, 536.6622314453125, 1707.759033203125, 610.9122314453125]",0.6548,True,False,14,1
2,0.2764,"[208.4, 543.7, 256.7, 676.7]",,,0.0,False,False,14,1
2,0.1802,"[1668.6, 531.6, 1703.7, 611.2]",5,"[1683.458984375, 536.6622314453125, 1707.759033203125, 610.9122314453125]",0.4853,True,False,14,1
2,0.1574,"[807.3, 480.6, 823.5, 521.1]",,,0.0,False,False,14,1
2,0.1301,"[684.5, 520.4, 712.8, 597.4]",,,0.0,False,False,14,1
2,0.128,"[1684.8, 528.2, 1711.8, 612.6]",5,"[1683.458984375, 536.6622314453125, 1707.759033203125, 610.9122314453125]",0.717,True,False,14,1
2,0.1069,"[704.0, 502.9, 725.6, 563.6]",,,0.0,False,False,14,1
3,0.5406,"[1470.2, 506.3, 1489.1, 557.5]",,,0.0,False,False,14,0
3,0.4996,"[629.1, 523.8, 658.1, 596.7]",,,0.0,False,False,14,0
3,0.4758,"[1665.9, 541.7, 1695.6, 608.5]",,,0.0,False,False,14,0
3,0.4549,"[12.5, 509.6, 51.3, 608.9]",,,0.0,False,False,14,0
3,0.4486,"[683.8, 519.8, 712.1, 598.1]",,,0.0,False,False,14,0
3,0.4478,"[808.0, 479.3, 822.8, 517.7]",,,0.0,False,False,14,0
