frame,stage,old_id,new_id,reason,det_score,det_box,track_box,iou_cost,iou_overlap,fused_cost,cosine_sim,cosine_theta,cosine_margin,feat_norm,feat_mean_sim,n_registry,n_lost,n_enrolments,all_sims_top5
3,5,14,14,unconfirmed_update,0.7545,"[847.1, 509.0, 878.2, 591.3]","[847.3, 509.2, 878.2, 590.7]",0.0905,0.9095,,,,,,,,1,,
3,5,16,16,unconfirmed_update,0.8096,"[1370.9, 495.5, 1387.8, 538.7]","[1370.4, 495.8, 1387.3, 539.0]",0.3233,0.6767,,,,,,,,1,,
3,5,17,17,unconfirmed_update,0.8021,"[766.8, 480.9, 784.4, 518.7]","[766.4, 481.1, 784.8, 519.2]",0.1479,0.8521,,,,,,,,1,,
3,6_new,-1,18,registry_empty_or_immature,0.7717,"[651.7, 520.4, 682.8, 599.4]",,,,,,,,1.0,,0,1,,
4,5,18,18,unconfirmed_update,0.7952,"[649.7, 520.4, 679.4, 599.4]","[649.6, 520.4, 680.6, 599.4]",0.1633,0.8367,,,,,,,,1,,
4,6_new,-1,19,registry_empty_or_immature,0.8271,"[627.1, 524.1, 653.4, 596.4]",,,,,,,,1.0,,0,1,,
5,5,19,19,unconfirmed_update,0.8044,"[623.0, 524.5, 648.7, 595.4]","[623.8, 524.4, 649.7, 595.6]",0.3004,0.6996,,,,,,,,5,,
6,3,5,5,re_activate_from_lost,0.8279,"[1701.0, 534.9, 1728.0, 614.6]","[1701.4, 535.0, 1727.5, 614.6]",0.3241,0.6759,0.4404,,,,,,0,5,0,
7,3,14,14,re_activate_from_lost,0.8038,"[844.4, 508.3, 874.1, 593.3]","[842.3, 508.6, 874.7, 594.1]",0.3331,0.6669,0.4639,,,,,,8,5,2,
7,6_new,13,20,gate_failed sim=0.718<theta=0.800,0.6972,"[861.3, 505.9, 888.3, 587.6]",,,,,0.7184,0.8,0.0758,1.0,,8,5,5,"[(13, 0.7184247374534607), (4, 0.6426127552986145), (9, 0.6261932253837585), (2, 0.6165720224380493), (12, 0.61103755235672)]"
8,3,5,5,re_activate_from_lost,0.8393,"[1709.1, 533.6, 1736.1, 613.9]","[1709.6, 533.7, 1736.0, 614.1]",0.0831,0.9169,0.2305,,,,,,8,6,1,
8,6_new,12,21,gate_failed sim=0.698<theta=0.800,0.6905,"[597.4, 570.7, 645.3, 686.8]",,,,,0.6982,0.8,0.0573,1.0,,10,6,7,"[(12, 0.6982011795043945), (17, 0.6408600807189941), (13, 0.6290467381477356), (4, 0.6171395778656006), (9, 0.6120373010635376)]"
9,3,10,10,re_activate_from_lost,0.5969,"[1333.8, 499.5, 1346.0, 530.5]","[1334.1, 499.5, 1345.9, 530.7]",0.6343,0.3657,0.7817,,,,,,10,6,2,
9,3,19,19,re_activate_from_lost,0.6646,"[610.5, 522.1, 645.6, 607.2]","[611.6, 522.6, 642.1, 605.8]",0.5423,0.4577,0.6958,,,,,,10,6,2,
10,3,6,6,re_activate_from_lost,0.6198,"[1509.3, 507.6, 1528.2, 563.0]","[1508.8, 507.7, 1528.8, 562.9]",0.2549,0.7451,0.5382,,,,,,11,6,2,
10,3,18,18,re_activate_from_lost,0.6626,"[625.4, 512.3, 658.5, 595.4]","[625.8, 512.7, 658.2, 595.0]",0.1091,0.8909,0.4097,,,,,,11,6,4,
10,6_new,7,22,gate_failed sim=0.711<theta=0.800,0.7759,"[1482.3, 505.6, 1503.9, 561.6]",,,,,0.7114,0.8,0.0437,1.0,,12,6,9,"[(7, 0.7113980054855347), (4, 0.6677430868148804), (9, 0.6573024988174438), (16, 0.606326699256897), (14, 0.5864508748054504)]"
10,6_new,13,23,gate_failed sim=0.732<theta=0.800,0.6902,"[860.6, 505.2, 887.6, 586.9]","[790.8, 480.2, 807.9, 524.8]",1.0,0.0,,0.7316,0.8,0.0116,1.0,,12,6,5,"[(13, 0.7316082715988159), (14, 0.7199859619140625), (4, 0.6683509945869446), (18, 0.6646915674209595), (2, 0.6596999168395996)]"
10,6_new,7,24,gate_failed sim=0.735<theta=0.800,0.6802,"[1444.5, 504.2, 1460.7, 553.5]",,,,,0.7346,0.8,0.0138,1.0,,12,6,9,"[(7, 0.7346235513687134), (4, 0.7208725214004517), (16, 0.6870024800300598), (14, 0.613487958908081), (12, 0.6032834649085999)]"
11,5,23,23,unconfirmed_update,0.8127,"[860.0, 505.9, 887.0, 586.2]","[860.3, 505.8, 886.9, 586.4]",0.0641,0.9359,,,,,,,,4,,
12,6_new,10,25,gate_failed sim=0.744<theta=0.800,0.7983,"[686.1, 504.9, 708.1, 561.6]",,,,,0.7442,0.8,0.0244,1.0,,15,6,5,"[(10, 0.7441891431808472), (19, 0.7197523713111877), (12, 0.6991986632347107), (17, 0.6803196668624878), (13, 0.6541043519973755)]"
12,6_new,19,26,gate_failed sim=0.694<theta=0.800,0.7617,"[871.4, 489.7, 887.6, 532.2]",,,,,0.6938,0.8,0.0001,1.0,,15,6,5,"[(19, 0.6937832236289978), (16, 0.693720817565918), (10, 0.667708694934845), (7, 0.6673095226287842), (12, 0.6484566330909729)]"
12,6_revive,7,7,revived,0.7357,"[1452.6, 501.9, 1471.5, 557.2]",,,,,0.8315,0.8,0.1033,1.0,0.8315,15,6,11,"[(7, 0.8315423727035522), (5, 0.7282295227050781), (16, 0.7164180278778076), (10, 0.714066743850708), (4, 0.7051795721054077)]"
